Fecha Local / Lugar,Fecha UTC,Latitud / Longitud,Profundidad,Magnitud (2)
2024-02-18 20:56:4120 km al SE de Caldera,2024-02-18 23:56:41,-27.160 -70.649,48 km,3.1 Ml
2024-02-18 20:36:12130 km al O de ConstituciÃ³n,2024-02-18 23:36:12,-34.959 -73.762,15 km,3.2 Ml
2024-02-18 20:21:4645 km al SE de Pica,2024-02-18 23:21:46,-20.832 -69.103,115 km,2.5 Ml
2024-02-18 18:21:3669 km al SE de Diego de Almagro,2024-02-18 21:21:36,-26.949 -69.732,107 km,2.6 Ml
2024-02-18 17:49:514 km al O de TirÃºa,2024-02-18 20:49:51,-38.345 -73.541,26 km,3.0 Ml
2024-02-18 14:50:5137 km al NE de Calama,2024-02-18 17:50:51,-22.220 -68.688,116 km,4.5 Ml
2024-02-18 14:23:4577 km al SE de Socaire,2024-02-18 17:23:45,-24.109 -67.396,225 km,3.8 Ml
2024-02-18 14:08:4818 km al O de Curarrehue,2024-02-18 17:08:48,-39.307 -71.787,18 km,2.4 Ml
2024-02-18 13:12:2777 km al SE de Socaire,2024-02-18 16:12:27,-23.969 -67.254,255 km,3.5 Ml
2024-02-18 12:50:5187 km al NO de La Higuera,2024-02-18 15:50:51,-29.150 -71.997,32 km,3.1 Ml
2024-02-18 11:47:0769 km al SO de OllagÃ¼e,2024-02-18 14:47:07,-21.760 -68.586,107 km,2.8 Ml
2024-02-18 09:04:5125 km al SE de San FabiÃ¡n,2024-02-18 12:04:51,-36.664 -71.312,10 km,3.8 Ml
2024-02-18 09:01:59111 km al NE de San Pedro de Atacama,2024-02-18 12:01:59,-22.149 -67.521,190 km,3.5 Ml
2024-02-18 07:19:3022 km al SO de Linares,2024-02-18 10:19:30,-35.956 -71.805,84 km,2.5 Ml
2024-02-18 06:28:1134 km al O de Arica,2024-02-18 09:28:11,-18.549 -70.639,38 km,2.9 Ml
2024-02-18 05:24:1572 km al E de Socaire,2024-02-18 08:24:15,-23.462 -67.200,244 km,3.4 Ml
2024-02-18 04:33:1462 km al N de Calama,2024-02-18 07:33:14,-21.944 -68.725,124 km,3.2 Ml
2024-02-18 04:00:3891 km al SE de Socaire,2024-02-18 07:00:38,-23.934 -67.074,225 km,2.8 Ml
2024-02-18 02:56:1184 km al E de Socaire,2024-02-18 05:56:11,-23.746 -67.084,244 km,2.9 Ml
2024-02-18 00:47:5138 km al SO de Termas del Flaco,2024-02-18 03:47:51,-35.233 -70.682,123 km,2.5 Ml
2024-02-17 22:29:2355 km al SO de Huasco,2024-02-18 01:29:23,-28.909 -71.477,42 km,4.0 Ml
2024-02-17 21:37:1475 km al SO de OllagÃ¼e,2024-02-18 00:37:14,-21.815 -68.610,117 km,2.6 Ml
